Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
4.4,81567977,1352,60331.3,59808.0,55615,330494,12678.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(T1::Params)
2.5,47239532,176,268406.4,266798.0,259071,279198,5631.7,"void imp::gemv_dp4a_fp32_kernel<imp::DequantTraits<(imp::DPQTag)1>, (int)2>(const unsigned char *, const imp::block_q8_1 *, const float *, float *, int, int)"
2.4,44513530,3584,12420.1,12352.0,11552,298751,4787.9,"void imp::gemv_dp4a_kpar_qkv_kernel<imp::DequantTraits<(imp::DPQTag)1>>(const unsigned char *, const unsigned char *, const unsigned char *, const imp::block_q8_1 *, const float *, __half *, __half *, __half *, int, int, int, int)"
1.9,35767732,2520,14193.5,13472.0,2336,27840,7252.2,"imp::paged_kv_gather_fp16_kernel(__half *, const __half *, const int *, int, int, int, int)"
1.4,25940587,75,345874.5,332702.0,80128,709116,166014.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_nn_align8>(T1::Params)
1.2,21643273,7344,2947.1,2912.0,2720,218559,2517.7,"imp::rmsnorm_quantize_q8_1_kernel(const __half *, const __half *, imp::block_q8_1 *, float *, __half *, int, float, float)"
0.7,12741020,6720,1896.0,1856.0,1760,2432,87.0,"imp::quantize_fp16_nvfp4_cutlass_kernel(const __half *, unsigned char *, unsigned char *, int, int, int)"
0.7,12349457,80,154368.2,152015.0,22432,287390,81040.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
0.6,10313665,15,687577.7,687740.0,639549,732635,37703.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_16x16_32x1_tn_align2>(T1::Params)
0.5,9498349,65,146128.4,140735.0,20192,547069,88931.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_64x1_tn_align8>(T1::Params)
0.5,9311305,15,620753.7,622493.0,576541,661436,34727.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_16x16_32x1_tn_align8>(T1::Params)
0.5,8943468,1344,6654.4,6656.0,6528,7040,44.1,"void imp::rope_forward_kernel<__half>(T1 *, T1 *, const int *, int, int, int, int, int, float, float, int, bool, float, float, float, float, const float *)"
0.4,8320559,3584,2321.6,2304.0,2239,2592,67.5,"imp::paged_attention_reduce_kernel(const float *, __half *, int, int, int)"
0.4,7911409,2688,2943.2,2944.0,2496,4096,147.4,"imp::rmsnorm_fp16_kernel(const __half *, const __half *, __half *, int, float, float)"
0.3,6429052,1344,4783.5,4768.0,4672,5696,88.6,"imp::swiglu_fp16_kernel(const __half *, const __half *, __half *, long)"
0.3,5183232,15,345548.8,346558.0,318334,367837,19090.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_32x2_tn_align8>(T1::Params)
0.3,5111906,15,340793.7,340702.0,312798,363390,18391.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_32x1_tn_align8>(T1::Params)
0.3,4938145,48,102878.0,105071.5,57600,156735,38940.6,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
0.3,4886376,3584,1363.4,1376.0,1183,1824,69.0,"imp::write_kv_cache_rope_fused_kernel(const __half *, const __half *, const int *, const int *, __half *, __half *, int, int, int, int, int, int, int, int, float, float, int, bool, const float *)"
0.2,3942637,1344,2933.5,3008.0,1920,3840,409.9,"imp::write_kv_cache_fused_kernel(const __half *, const __half *, const int *, const int *, __half *, __half *, int, int, int, int, int, int)"
0.2,3012817,196,15371.5,10352.0,3872,26528,9856.4,"imp::absmax_reduce_kernel(const __half *, float *, int)"
0.1,2749360,3584,767.1,768.0,608,1024,42.8,"imp::rope_q_only_fp16_kernel(__half *, const int *, int, int, float, float, int, bool, const float *)"
0.1,2626769,3584,732.9,736.0,703,992,28.0,"void imp::fused_act_quantize_q8_1_kernel<imp::SwiGLUAct>(const __half *, const __half *, imp::block_q8_1 *, float *, int, T1)"
0.1,2589901,3584,722.6,704.0,672,992,26.4,"void imp::fused_act_quantize_q8_1_kernel<imp::IdentityAct>(const __half *, const __half *, imp::block_q8_1 *, float *, int, T1)"
0.1,2550926,196,13014.9,8896.0,3392,22464,8156.4,"imp::calibrate_quantize_fp8_kernel(const __half *, unsigned char *, const float *, float *, int)"
0.1,2068626,197,10500.6,5760.0,3712,589404,41592.1,"imp::absmax_kernel(const __half *, long, float *)"
0.1,2029775,197,10303.4,5280.0,3072,618684,43708.9,"imp::quantize_nvfp4_from_absmax_kernel(const __half *, unsigned char *, unsigned char *, const float *, float *, long, long)"
0.1,1827510,16,114219.4,116000.0,61600,177055,51026.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_64x6_tn_align8>(T1::Params)
0.1,1724594,89,19377.5,19360.0,18848,20352,306.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_nn_align8>(T1::Params)
0.0,930618,176,5287.6,5376.0,2752,5824,491.7,"imp::embedding_lookup_q8_0_kernel(const unsigned char *, const int *, __half *, int)"
0.0,843611,197,4282.3,3104.0,1279,77472,5630.4,"imp::convert_scales_sfatom_kernel(const unsigned char *, unsigned char *, int, int, int)"
0.0,566269,8,70783.6,70527.5,70112,71872,584.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_tn_align8>(T1::Params)
0.0,478367,131,3651.7,3616.0,3424,3904,112.8,"imp::argmax_partial_kernel(const float *, int, float *, int *)"
0.0,340414,196,1736.8,1536.0,1056,2464,531.1,"imp::absmax_final_reduce_kernel(const float *, float *, int)"
0.0,159263,131,1215.7,1184.0,1088,1504,62.8,"imp::argmax_reduce_kernel(const float *, const int *, int, int *)"
0.0,117566,5,23513.2,23551.0,23007,23968,422.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(T1::Params)
0.0,108607,5,21721.4,21535.0,20960,22432,595.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(T1::Params)
0.0,102943,5,20588.6,20640.0,20031,20960,361.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align8>(T1::Params)
