Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.3,1023005,113,9053.1,8960.0,8608,11328,440.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(T1::Params)
1.2,944347,113,8357.1,8352.0,7744,10112,414.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_nn_align8>(T1::Params)
1.2,926909,108,8582.5,8576.0,8416,8864,76.8,"imp::causal_softmax_fp32_inplace_kernel(float *, int, int, int, bool)"
1.1,852699,3,284233.0,284894.0,282878,284927,1173.6,"void imp::gemv_dp4a_fp32_kernel<imp::DequantTraits<(imp::DPQTag)1>, (int)2>(const unsigned char *, const imp::block_q8_1 *, const float *, float *, int, int)"
1.0,729788,540,1351.5,1312.0,1216,1888,113.3,"imp::quantize_fp16_nvfp4_cutlass_kernel(const __half *, unsigned char *, unsigned char *, int, int, int)"
0.8,627615,126,4981.1,5311.5,2368,5952,974.2,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.8,588476,12,49039.7,48991.5,28799,73152,19930.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_64x6_tn_align8>(T1::Params)
0.7,515901,252,2047.2,1600.0,1216,3008,756.6,"imp::absmax_final_reduce_kernel(const float *, float *, int)"
0.7,515230,108,4770.6,4768.0,4672,4992,49.3,"void imp::rope_forward_kernel<__half>(T1 *, T1 *, const int *, int, int, int, int, int, float, float, int, bool, float, float, float, float, const float *)"
0.6,485182,108,4492.4,4480.0,4352,4704,45.7,"imp::fp32_to_fp16_kernel(const float *, __half *, long)"
0.4,333823,108,3091.0,3072.0,3008,3392,67.9,"imp::swiglu_fp16_kernel(const __half *, const __half *, __half *, long)"
0.3,238878,6,39813.0,39712.0,39584,40192,242.3,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(T1::Params)
0.2,175550,108,1625.5,1536.0,1344,2176,158.3,"imp::write_kv_cache_fused_kernel(const __half *, const __half *, const int *, const int *, __half *, __half *, int, int, int, int, int, int)"
0.2,160479,6,26746.5,26672.0,26592,27136,203.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_tn_align8>(T1::Params)
0.1,67648,5,13529.6,13600.0,13344,13632,120.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
0.1,59583,5,11916.6,11936.0,11744,12032,125.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
0.1,56736,5,11347.2,11424.0,10816,11776,350.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(T1::Params)
0.1,52608,5,10521.6,10464.0,10432,10656,97.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_32x1_tn_align8>(T1::Params)
0.1,52160,5,10432.0,10368.0,10080,10720,270.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params)
0.1,50240,5,10048.0,9952.0,9568,10432,366.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(T1::Params)
0.1,49568,5,9913.6,9888.0,9824,10016,82.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_64x1_tn_align8>(T1::Params)
0.1,43008,5,8601.6,8832.0,8032,8864,370.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align8>(T1::Params)
0.0,21408,5,4281.6,4352.0,4032,4384,149.1,"imp::argmax_partial_kernel(const float *, int, float *, int *)"
0.0,13760,3,4586.7,4576.0,4480,4704,112.4,"imp::embedding_lookup_q8_0_kernel(const unsigned char *, const int *, __half *, int)"
0.0,9056,3,3018.7,2976.0,2912,3168,133.2,"imp::rmsnorm_quantize_q8_1_kernel(const __half *, const __half *, imp::block_q8_1 *, float *, __half *, int, float, float)"
0.0,6240,5,1248.0,1248.0,1216,1280,32.0,"imp::argmax_reduce_kernel(const float *, const int *, int, int *)"
